id,name,symbol,time_open,time_close,time_high,time_low,open_USD,high_USD,low_USD,close_USD,volume_USD,market_cap_USD,timestamp
1,Bitcoin,BTC,2024-03-12T00:00:00.000Z,2024-03-12T23:59:59.999Z,2024-03-12T14:08:00.000Z,2024-03-12T17:23:00.000Z,72125.12162670451,72825.65737054772,68728.85433313914,71481.29159395555,62554434520.34,1404810311680.06,2024-03-12T23:59:59.999Z
1,Bitcoin,BTC,2024-03-13T00:00:00.000Z,2024-03-13T23:59:59.999Z,2024-03-13T08:30:00.000Z,2024-03-13T00:22:00.000Z,71482.1170682073,73637.47478595813,71334.09238242297,73083.5013282129,48212536929.31,1436271822605.71,2024-03-13T23:59:59.999Z
1,Bitcoin,BTC,2024-03-14T00:00:00.000Z,2024-03-14T23:59:59.999Z,2024-03-14T07:07:00.000Z,2024-03-14T19:44:00.000Z,73079.3733787985,73750.07385037997,68563.02276810657,71396.58989198315,59594605698.01,1403092953865.88,2024-03-14T23:59:59.999Z
1,Bitcoin,BTC,2024-03-15T00:00:00.000Z,2024-03-15T23:59:59.999Z,2024-03-15T00:36:00.000Z,2024-03-15T09:15:00.000Z,71387.87320287335,72357.13088200819,65630.69408282978,69403.77183216462,78320453975.56,1363928841106.55,2024-03-15T23:59:59.999Z
1,Bitcoin,BTC,2024-03-16T00:00:00.000Z,2024-03-16T23:59:59.999Z,2024-03-16T00:24:00.000Z,2024-03-16T23:19:00.000Z,69392.48750025756,70046.27392538515,64801.39554772608,65315.11747411937,46842198370.83,1283870289169.9,2024-03-16T23:59:59.999Z
1,Bitcoin,BTC,2024-03-17T00:00:00.000Z,2024-03-17T23:59:59.999Z,2024-03-17T22:41:00.000Z,2024-03-17T07:23:00.000Z,65316.34488265153,68845.716235111,64545.31810286335,68390.62280322092,44716864318.25,1343978205472.65,2024-03-17T23:59:59.999Z
1,Bitcoin,BTC,2024-03-18T00:00:00.000Z,2024-03-18T23:59:59.999Z,2024-03-18T05:37:00.000Z,2024-03-18T17:10:00.000Z,68371.3072649579,68897.13441419146,66594.23035076485,67548.59156640709,49261579492.09,1328015048454.29,2024-03-18T23:59:59.999Z
1,Bitcoin,BTC,2024-03-19T00:00:00.000Z,2024-03-19T23:59:59.999Z,2024-03-19T00:21:00.000Z,2024-03-19T23:27:00.000Z,67556.13115580649,68106.92740675979,61536.18024645478,61912.77315244712,74215844794.11,1217479093665.71,2024-03-19T23:59:59.999Z
1,Bitcoin,BTC,2024-03-20T00:00:00.000Z,2024-03-20T23:59:59.999Z,2024-03-20T22:17:00.000Z,2024-03-20T05:34:00.000Z,61930.15489598999,68115.25886631622,60807.78595994801,67913.67302504343,66792634382.18,1335131959554.81,2024-03-20T23:59:59.999Z
1,Bitcoin,BTC,2024-03-21T00:00:00.000Z,2024-03-21T23:59:59.999Z,2024-03-21T00:45:00.000Z,2024-03-21T20:05:00.000Z,67911.58386688108,68199.99043819706,64580.91673868454,65491.38992535785,44480350564.9,1287574561970.88,2024-03-21T23:59:59.999Z
